natheal,nathealy,health,race,relig,sex,income,year,wtssps,wtssall,wtssnr
NA,NA,2,1,3,2,NA,1972,0.6631962719309434,0.4446,NA
NA,NA,3,1,2,1,NA,1972,0.9173700285853269,0.8893,NA
NA,NA,1,1,1,2,NA,1972,0.8974125122510306,0.8893,NA
NA,NA,2,1,5,2,NA,1972,1.066340827434378,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.9443237106646604,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.5268872419875674,0.4446,NA
NA,NA,1,1,2,1,NA,1972,0.5268872419875674,0.4446,NA
NA,NA,2,1,3,1,NA,1972,0.5465788695869015,0.4446,NA
NA,NA,1,2,1,2,NA,1972,0.28319830704889315,0.4446,NA
NA,NA,3,2,1,2,NA,1972,0.4943221456064059,0.8893,NA
NA,NA,2,2,1,2,NA,1972,0.4943221456064059,0.8893,NA
NA,NA,3,2,1,1,NA,1972,0.5143024304190335,1.3339,NA
NA,NA,1,2,1,1,NA,1972,0.34288113904464074,0.8893,NA
NA,NA,2,2,1,2,NA,1972,0.7377409887767981,1.3339,NA
NA,NA,1,2,1,1,NA,1972,0.3258478220111277,0.8893,NA
NA,NA,2,2,1,1,NA,1972,0.3447588221122278,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.69963910150137,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.7756245231911563,0.8893,NA
NA,NA,1,1,1,2,NA,1972,1.153200137225526,1.3339,NA
NA,NA,2,1,1,2,NA,1972,2.1121180099210615,1.7786,NA
NA,NA,2,1,1,1,NA,1972,0.6427381606254297,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.6427381606254297,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.69963910150137,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.8489132486287088,0.8893,NA
NA,NA,1,1,1,2,NA,1972,1.1610227574386525,0.8893,NA
NA,NA,1,1,2,2,NA,1972,0.9443237106646604,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.7396101836808643,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.8974125122510306,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.8471720987661739,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.8425580886142678,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.8425580886142678,0.8893,NA
NA,NA,1,1,1,2,NA,1972,1.0279237066194562,0.8893,NA
NA,NA,1,1,1,1,NA,1972,1.6398595459783345,1.3339,NA
NA,NA,1,1,1,2,NA,1972,1.1130989813030865,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.8471720987661739,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.8471720987661739,0.8893,NA
NA,NA,1,1,1,2,NA,1972,0.9443237106646604,0.8893,NA
NA,NA,2,1,1,2,NA,1972,1.4434553172314797,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.6261158591082713,0.4446,NA
NA,NA,2,1,1,2,NA,1972,1.228201703981277,0.8893,NA
NA,NA,1,1,1,2,NA,1972,0.9003857752751921,0.4446,NA
NA,NA,3,1,1,1,NA,1972,1.012232920176447,0.8893,NA
NA,NA,2,1,1,1,NA,1972,1.1896360232762835,0.8893,NA
NA,NA,2,1,1,2,NA,1972,1.221512466766061,0.8893,NA
NA,NA,2,1,2,2,NA,1972,1.408718061285921,1.3339,NA
NA,NA,1,1,1,2,NA,1972,1.0279237066194562,0.8893,NA
NA,NA,2,1,2,1,NA,1972,1.5807802341142971,1.3339,NA
NA,NA,2,1,1,1,NA,1972,1.1093736916809915,1.3339,NA
NA,NA,1,1,1,1,NA,1972,0.7355819951924478,0.8893,NA
NA,NA,2,1,1,1,NA,1972,1.1033316354292209,1.3339,NA
NA,NA,2,1,2,1,NA,1972,1.1033316354292209,1.3339,NA
NA,NA,2,1,2,1,NA,1972,0.9196807518590481,0.8893,NA
NA,NA,2,1,2,1,NA,1972,0.7355819951924478,0.8893,NA
NA,NA,1,1,1,2,NA,1972,1.0279237066194562,0.8893,NA
NA,NA,1,1,2,2,NA,1972,2.347898638466794,2.2232,NA
NA,NA,1,1,2,1,NA,1972,0.9196807518590481,0.8893,NA
NA,NA,2,1,2,2,NA,1972,1.1159027176819802,0.8893,NA
NA,NA,2,1,2,2,NA,1972,1.1159027176819802,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.9141450707253006,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.7693746789453701,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.7534004646025815,0.8893,NA
NA,NA,3,1,1,2,NA,1972,1.1540187610988746,1.3339,NA
NA,NA,3,1,1,1,NA,1972,0.9563027904071629,1.3339,NA
NA,NA,1,1,2,1,NA,1972,0.6025871649602811,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.7534004646025815,0.8893,NA
NA,NA,4,1,5,2,NA,1972,0.939180577180875,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.9196807518590481,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.8974125122510306,0.8893,NA
NA,NA,2,1,2,2,NA,1972,1.3881973400363443,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.8788338968740971,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.7355819951924478,0.8893,NA
NA,NA,1,1,1,2,NA,1972,1.1159027176819802,0.8893,NA
NA,NA,3,1,2,1,NA,1972,0.9173700285853269,0.8893,NA
NA,NA,1,1,2,2,NA,1972,0.939180577180875,0.8893,NA
NA,NA,2,1,2,1,NA,1972,2.1077859842534563,1.7786,NA
NA,NA,1,1,4,1,NA,1972,1.0932806763914333,0.8893,NA
NA,NA,3,1,2,2,NA,1972,1.338737130239155,1.3339,NA
NA,NA,1,1,1,2,NA,1972,1.168352723223538,0.8893,NA
NA,NA,2,1,2,1,NA,1972,2.1077859842534563,1.7786,NA
NA,NA,3,1,2,2,NA,1972,1.1747508474583053,0.8893,NA
NA,NA,3,1,1,1,NA,1972,1.4711639903848956,1.7786,NA
NA,NA,2,1,1,2,NA,1972,0.8974125122510306,0.8893,NA
NA,NA,1,1,4,1,NA,1972,0.459990562003962,0.4446,NA
NA,NA,3,1,1,2,NA,1972,1.0279237066194562,0.8893,NA
NA,NA,2,1,5,1,NA,1972,1.0538929921267282,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.8788338968740971,0.8893,NA
NA,NA,2,1,2,2,NA,1972,1.1576079232792655,0.8893,NA
NA,NA,1,1,5,2,NA,1972,1.9897379827455792,1.3339,NA
NA,NA,1,1,4,1,NA,1972,0.8788338968740971,0.8893,NA
NA,NA,2,2,2,2,NA,1972,0.6859098782014859,0.8893,NA
NA,NA,1,1,4,1,NA,1972,0.8788338968740971,0.8893,NA
NA,NA,3,1,1,2,NA,1972,1.326726350373704,1.3339,NA
NA,NA,2,1,5,2,NA,1972,1.326726350373704,1.3339,NA
NA,NA,2,1,1,1,NA,1972,0.7289825566486996,0.8893,NA
NA,NA,2,1,1,2,NA,1972,1.0842937910582553,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.6927688674563013,0.8893,NA
NA,NA,3,1,1,1,NA,1972,1.093432848660408,1.3339,NA
NA,NA,1,1,1,2,NA,1972,0.884517387650749,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.8614351275099086,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.8420728568882756,0.8893,NA
NA,NA,2,1,1,1,NA,1972,1.0352938137787042,1.3339,NA
NA,NA,2,1,1,1,NA,1972,0.6058870481779584,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.9141450707253006,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.7534004646025815,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.6058870481779584,0.8893,NA
NA,NA,3,1,4,2,NA,1972,0.9118482560032211,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.5265479099990069,0.4446,NA
NA,NA,1,1,5,2,NA,1972,0.5731626488314563,0.4446,NA
NA,NA,1,1,5,2,NA,1972,0.5945837509861812,0.4446,NA
NA,NA,3,1,1,1,NA,1972,0.41240116289893186,0.4446,NA
NA,NA,2,2,1,1,NA,1972,0.22000339973671953,0.4446,NA
NA,NA,2,2,1,1,NA,1972,0.506814205910985,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.9950055511316847,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.6939542257053235,0.8893,NA
NA,NA,1,1,2,1,NA,1972,1.889720056996971,1.7786,NA
NA,NA,2,1,3,2,NA,1972,0.622219094069017,0.4446,NA
NA,NA,2,2,1,1,NA,1972,0.45194038877219905,0.8893,NA
NA,NA,1,2,1,2,NA,1972,0.8933085364535611,1.3339,NA
NA,NA,2,2,1,2,NA,1972,1.007535601198751,1.7786,NA
NA,NA,3,2,1,2,NA,1972,0.3429163745062191,0.4446,NA
NA,NA,2,2,1,2,NA,1972,0.34104872608445047,0.4446,NA
NA,NA,3,2,1,1,NA,1972,0.6227534573806035,1.3339,NA
NA,NA,4,2,1,1,NA,1972,1.1836781963408312,2.6679,NA
NA,NA,3,2,1,1,NA,1972,0.9181755054173565,1.3339,NA
NA,NA,2,1,2,2,NA,1972,2.226197962606173,1.7786,NA
NA,NA,2,1,4,2,NA,1972,0.8925248743696544,0.8893,NA
NA,NA,1,1,4,2,NA,1972,1.066340827434378,0.8893,NA
NA,NA,2,1,2,2,NA,1972,1.3460683122586865,1.3339,NA
NA,NA,4,1,2,2,NA,1972,1.1130989813030865,0.8893,NA
NA,NA,1,1,1,1,NA,1972,1.5807802341142971,1.3339,NA
NA,NA,4,1,2,1,NA,1972,0.9173700285853269,0.8893,NA
NA,NA,2,1,2,1,NA,1972,0.9196807518590481,0.8893,NA
NA,NA,2,1,2,1,NA,1972,1.1093736916809915,1.3339,NA
NA,NA,1,1,1,2,NA,1972,0.7756245231911563,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.9165517116165661,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.6392375727254469,0.8893,NA
NA,NA,1,1,1,2,NA,1972,0.5279701266225705,0.4446,NA
NA,NA,2,1,1,1,NA,1972,0.6074821478971704,0.8893,NA
NA,NA,3,1,2,2,NA,1972,0.9192554526939472,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.7617610598211951,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.6427381606254297,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.5748493506821989,0.4446,NA
NA,NA,3,1,3,1,NA,1972,0.69963910150137,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.5717185101555479,0.4446,NA
NA,NA,4,1,1,2,NA,1972,0.5717185101555479,0.4446,NA
NA,NA,2,1,1,2,NA,1972,0.596333490811786,0.4446,NA
NA,NA,2,1,1,1,NA,1972,0.6108088369829162,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.4711866912232359,0.4446,NA
NA,NA,2,1,1,1,NA,1972,0.9146718329725879,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.9443237106646604,0.8893,NA
NA,NA,1,1,4,1,NA,1972,0.7396101836808643,0.8893,NA
NA,NA,2,1,2,1,NA,1972,1.1093736916809915,1.3339,NA
NA,NA,1,1,2,2,NA,1972,0.939180577180875,0.8893,NA
NA,NA,3,1,2,2,NA,1972,1.1098251019585341,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.8974125122510306,0.8893,NA
NA,NA,2,1,1,2,NA,1972,1.1159027176819802,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.5841106721524624,0.4446,NA
NA,NA,1,1,1,2,NA,1972,1.1159027176819802,0.8893,NA
NA,NA,2,1,2,1,NA,1972,0.8471720987661739,0.8893,NA
NA,NA,2,1,1,2,NA,1972,1.3806367078706852,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.9196807518590481,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.8425580886142678,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.7740336909899705,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.7355819951924478,0.8893,NA
NA,NA,4,1,4,1,NA,1972,0.5021261626474766,0.4446,NA
NA,NA,1,1,4,2,NA,1972,0.7199586092222234,0.4446,NA
NA,NA,2,1,1,1,NA,1972,1.0932806763914333,0.8893,NA
NA,NA,1,1,4,2,NA,1972,1.541827765950403,1.3339,NA
NA,NA,2,1,1,2,NA,1972,1.1191945254195232,0.8893,NA
NA,NA,1,1,2,2,NA,1972,0.9443237106646604,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.9173700285853269,0.8893,NA
NA,NA,1,1,4,1,NA,1972,0.8471720987661739,0.8893,NA
NA,NA,2,1,4,1,NA,1972,1.2879188263194654,1.3339,NA
NA,NA,1,1,2,2,NA,1972,1.134350963971034,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.41134065648652396,0.4446,NA
NA,NA,1,1,1,1,NA,1972,0.7199388101523713,0.8893,NA
NA,NA,1,1,1,2,NA,1972,0.5685401771286641,0.4446,NA
NA,NA,2,1,4,1,NA,1972,0.8586447351719779,0.8893,NA
NA,NA,2,1,4,2,NA,1972,0.8735440784096016,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.5237158373896273,0.4446,NA
NA,NA,3,2,1,2,NA,1972,0.9339538413844187,1.3339,NA
NA,NA,2,2,1,2,NA,1972,0.7171185983882046,0.8893,NA
NA,NA,1,2,1,1,NA,1972,0.39803447541312903,0.4446,NA
NA,NA,2,2,1,2,NA,1972,1.2225849892611893,1.3339,NA
NA,NA,2,2,1,1,NA,1972,0.8099625677901678,1.3339,NA
NA,NA,2,2,1,1,NA,1972,0.9599522509367606,1.3339,NA
NA,NA,3,2,1,1,NA,1972,1.3499578534456111,2.2232,NA
NA,NA,1,1,2,1,NA,1972,1.5807802341142971,1.3339,NA
NA,NA,2,1,1,2,NA,1972,0.9309519711446791,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.807359224434412,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.7782724483604206,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.8788338968740971,0.8893,NA
NA,NA,1,1,2,2,NA,1972,1.066340827434378,0.8893,NA
NA,NA,2,1,2,2,NA,1972,0.8974125122510306,0.8893,NA
NA,NA,2,1,5,2,NA,1972,1.9076071571070712,1.3339,NA
NA,NA,2,1,1,2,NA,1972,1.4282391781029753,0.8893,NA
NA,NA,1,1,1,1,NA,1972,1.170170793630286,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.9956704205034731,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.9462084699844643,0.8893,NA
NA,NA,1,1,1,1,NA,1972,1.1765788739682908,0.8893,NA
NA,NA,1,1,1,2,NA,1972,0.7513648634838876,0.4446,NA
NA,NA,2,1,1,2,NA,1972,1.3150577684863756,0.8893,NA
NA,NA,3,1,1,1,NA,1972,1.4934496501850691,1.3339,NA
NA,NA,1,1,1,2,NA,1972,1.1418374360361536,0.8893,NA
NA,NA,2,1,1,1,NA,1972,1.1610070172174987,1.3339,NA
NA,NA,4,1,1,2,NA,1972,0.8925248743696544,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.6358213824498125,0.4446,NA
NA,NA,2,1,1,1,NA,1972,0.9146718329725879,0.8893,NA
NA,NA,1,1,1,2,NA,1972,1.1159027176819802,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.7355819951924478,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.7396101836808643,0.8893,NA
NA,NA,3,1,1,2,NA,1972,1.1103124285689991,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.9173700285853269,0.8893,NA
NA,NA,3,2,1,2,NA,1972,0.5955613475284143,0.8893,NA
NA,NA,3,2,1,2,NA,1972,0.742745382536881,0.8893,NA
NA,NA,2,2,1,2,NA,1972,0.598559927055702,0.8893,NA
NA,NA,2,2,1,1,NA,1972,0.8479159398303419,1.3339,NA
NA,NA,2,2,1,2,NA,1972,0.34104872608445047,0.4446,NA
NA,NA,4,2,1,1,NA,1972,0.41518453380955916,0.8893,NA
NA,NA,3,2,1,1,NA,1972,0.49206882346675035,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.9173700285853269,0.8893,NA
NA,NA,1,1,2,2,NA,1972,0.8566556399111193,0.8893,NA
NA,NA,1,1,2,2,NA,1972,0.9351261628171917,0.8893,NA
NA,NA,2,1,2,2,NA,1972,0.8566556399111193,0.8893,NA
NA,NA,1,1,1,2,NA,1972,1.065222897657805,0.8893,NA
NA,NA,2,1,1,1,NA,1972,2.228779317784545,2.6679,NA
NA,NA,2,1,1,1,NA,1972,0.742926439261515,0.8893,NA
NA,NA,1,1,4,1,NA,1972,0.7388801892281802,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.7060200593778648,0.8893,NA
NA,NA,2,1,2,1,NA,1972,0.9629078717209592,0.8893,NA
NA,NA,1,1,2,2,NA,1972,1.9897379827455792,1.3339,NA
NA,NA,1,1,1,1,NA,1972,0.8471720987661739,0.8893,NA
NA,NA,2,1,1,1,NA,1972,2.1077859842534563,1.7786,NA
NA,NA,3,1,1,2,NA,1972,0.9443237106646604,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.6960679153677312,0.4446,NA
NA,NA,2,1,1,1,NA,1972,1.5807802341142971,1.3339,NA
NA,NA,3,1,4,2,NA,1972,0.9165517116165661,0.8893,NA
NA,NA,1,1,1,2,NA,1972,0.8489132486287088,0.8893,NA
NA,NA,3,1,1,1,NA,1972,0.6392375727254469,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.9165517116165661,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.8442897555356691,0.8893,NA
NA,NA,3,1,1,1,NA,1972,1.2784751454508938,1.7786,NA
NA,NA,2,1,1,1,NA,1972,0.7576122295322112,0.8893,NA
NA,NA,4,1,1,1,NA,1972,0.6392375727254469,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.49147333768283996,0.4446,NA
NA,NA,4,1,1,2,NA,1972,0.7756245231911563,0.8893,NA
NA,NA,1,1,1,2,NA,1972,0.9192554526939472,0.8893,NA
NA,NA,1,1,1,1,NA,1972,0.6108088369829162,0.8893,NA
NA,NA,3,1,1,2,NA,1972,0.741130266992768,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.48503084993728235,0.4446,NA
NA,NA,1,1,1,1,NA,1972,0.7617610598211951,0.8893,NA
NA,NA,2,1,2,2,NA,1972,0.5199383450727062,0.4446,NA
NA,NA,2,1,2,2,NA,1972,1.0452298778156413,0.8893,NA
NA,NA,2,1,2,1,NA,1972,1.9742947587395574,1.7786,NA
NA,NA,3,1,2,2,NA,1972,0.8796999813503018,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.8614351275099086,0.8893,NA
NA,NA,2,1,2,1,NA,1972,1.093432848660408,1.3339,NA
NA,NA,2,1,2,1,NA,1972,0.7562271962755502,0.8893,NA
NA,NA,1,1,2,2,NA,1972,1.568474467978924,1.3339,NA
NA,NA,4,1,1,2,NA,1972,0.939180577180875,0.8893,NA
NA,NA,2,1,4,2,NA,1972,1.1130989813030865,0.8893,NA
NA,NA,1,1,4,1,NA,1972,0.4840360352149803,0.4446,NA
NA,NA,3,1,4,1,NA,1972,0.5240176207063875,0.4446,NA
NA,NA,2,1,1,2,NA,1972,1.1130989813030865,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.7782724483604206,0.8893,NA
NA,NA,2,1,1,2,NA,1972,1.6737913360125867,1.3339,NA
NA,NA,2,1,1,1,NA,1972,0.7782724483604206,0.8893,NA
NA,NA,3,1,1,2,NA,1972,1.1747508474583053,0.8893,NA
NA,NA,2,2,1,1,NA,1972,0.49062153622248417,0.8893,NA
NA,NA,2,1,1,2,NA,1972,0.5841106721524624,0.4446,NA
NA,NA,3,1,1,2,NA,1972,0.6922768740520403,0.4446,NA
NA,NA,2,2,1,1,NA,1972,0.41518453380955916,0.8893,NA
NA,NA,2,2,1,2,NA,1972,0.598559927055702,0.8893,NA
NA,NA,2,2,1,2,NA,1972,0.598559927055702,0.8893,NA
NA,NA,2,2,1,1,NA,1972,0.5117449377026371,0.8893,NA
NA,NA,2,1,1,1,NA,1972,0.7782724483604206,0.8893,NA
NA,NA,2,2,4,1,NA,1972,0.49330827412158645,0.8893,NA
NA,NA,2,1,1,2,NA,1972,1.0279237066194562,0.8893,NA
NA,NA,3,1,1,2,NA,1972,1.1098251019585341,0.8893,NA
NA,NA,1,1,1,2,NA,1972,1.1159027176819802,0.8893,NA
NA,NA,4,1,1,1,NA,1972,1.376003464668806,1.3339,NA
NA,NA,1,1,1,1,NA,1972,0.9146718329725879,0.8893,NA
NA,NA,2,1,1,1,NA,1972,1.5565448967208413,1.7786,NA
NA,NA,2,1,1,1,NA,1972,0.9196807518590481,0.8893,NA
NA,NA,3,1,2,2,NA,1972,1.2608185241059875,1.3339,NA
NA,NA,2,1,2,2,NA,1972,0.8359990979524416,0.8893,NA
NA,NA,1,1,2,1,NA,1972,0.8567434356691014,0.8893,NA
NA,NA,1,1,2,2,NA,1972,1.2608185241059875,1.3339,NA
NA,NA,2,1,2,2,NA,1972,0.6484332917327136,0.4446,NA
